Stay,Investigate,Relocate
0.0,-0.25,-154.83935238487376
0.0,-0.25,-156.00252363564695
0.0,-0.25,-162.8082465231532
0.0,-0.25,-178.87579992102604
0.0,-0.25,-142.0982144155244
0.0,-0.25,-163.81405215332708
0.0,-0.25,-176.53503625757668
0.0,-0.25,-181.1668113158638
0.0,-0.25,-173.37792278449183
0.0,-0.25,-143.21744943788062
0.0,-0.25,-166.86043749638685
0.0,-0.25,-143.18036307062067
0.0,-0.25,-167.91124112050863
0.0,-0.25,-181.80951060792518
0.0,-0.25,-194.3003397634421
0.0,-0.25,-141.03294721620526
0.0,-0.25,-188.57414951723507
0.0,-0.25,-164.96563905253552
0.0,-0.25,-177.05246873469935
0.0,-0.25,-167.63133716698084
0.0,-0.25,-151.24878361969442
0.0,-0.25,-169.74128634546133
0.0,-0.25,-167.40211994752215
0.0,-0.25,-166.50005153568614
0.0,-0.25,-132.56384837090474
0.0,-0.25,-172.76705461527615
0.0,-0.25,-152.90894596294248
0.0,-0.25,-159.2954401663218
0.0,-0.25,-134.87622259845273
0.0,-0.25,-181.40851099787525
0.0,-0.25,-162.1122704381397
0.0,-0.25,-189.66568237339527
0.0,-0.25,-175.71905262292816
0.0,-0.25,-169.92319980890713
0.0,-0.25,-138.84752622863334
0.0,-0.25,-128.7868973643933
0.0,-0.25,-156.75350480108136
0.0,-0.25,-147.37766391941634
0.0,-0.25,-175.86886601875943
0.0,-0.25,-172.64078692610337
0.0,-0.25,-154.7104143573418
0.0,-0.25,-136.28072598762947
0.0,-0.25,-165.48450908244706
0.0,-0.25,-168.1678024291142
0.0,-0.25,-195.49753766790116
0.0,-0.25,-184.65061855034543
0.0,-0.25,-136.954917619818
0.0,-0.25,-171.67009364580713
0.0,-0.25,-133.38719780564867
0.0,-0.25,-163.98749296233908
0.0,-0.25,-156.78804306273292
0.0,-0.25,-167.7621720866826
0.0,-0.25,-151.75475051435438
0.0,-0.25,-184.40495688107285
0.0,-0.25,-175.46402665457228
0.0,-0.25,-156.16779780549038
0.0,-0.25,-157.81704671297058
0.0,-0.25,-155.95480351347402
0.0,-0.25,-176.89584786658992
0.0,-0.25,-183.4506587811174
0.0,-0.25,-143.90751234867884
0.0,-0.25,-191.5541603472112
0.0,-0.25,-165.93390622506251
0.0,-0.25,-182.78259313892426
0.0,-0.25,-133.7733864142978
0.0,-0.25,-148.41314145580574
0.0,-0.25,-165.21102407691282
0.0,-0.25,-157.52333191651613
0.0,-0.25,-147.20432073906753
0.0,-0.25,-177.84270853085687
0.0,-0.25,-157.5690010831029
0.0,-0.25,-140.205053021395
0.0,-0.25,-148.9146459334633
0.0,-0.25,-152.6675134753833
0.0,-0.25,-147.66675360704076
0.0,-0.25,-145.77991498256276
0.0,-0.25,-163.14264164782932
0.0,-0.25,-140.1198889993676
0.0,-0.25,-165.67857903745895
0.0,-0.25,-155.92520154689996
0.0,-0.25,-154.18440906630312
0.0,-0.25,-174.61903655059595
0.0,-0.25,-146.18313759437194
0.0,-0.25,-156.97279152692184
0.0,-0.25,-180.658525239949
0.0,-0.25,-161.88338898695656
0.0,-0.25,-159.32804691681926
0.0,-0.25,-171.5517626118766
0.0,-0.25,-149.4787488981514
0.0,-0.25,-160.76007325475044
0.0,-0.25,-141.47344684581358
0.0,-0.25,-156.9297159020655
0.0,-0.25,-155.81207563413946
0.0,-0.25,-161.53321930266597
0.0,-0.25,-154.77883466266167
0.0,-0.25,-185.45901063498766
0.0,-0.25,-157.74192186063632
0.0,-0.25,-154.7804749538301
0.0,-0.25,-160.24933853436593
0.0,-0.25,-185.0113758230248
0.0,-0.25,-161.26813619664304
0.0,-0.25,-164.84203371786793
0.0,-0.25,-159.18761370326817
0.0,-0.25,-187.87133252234858
0.0,-0.25,-164.85932119496277
0.0,-0.25,-134.12071716831844
0.0,-0.25,-182.88165982180513
0.0,-0.25,-161.09683011865977
0.0,-0.25,-192.4980173831501
0.0,-0.25,-166.89354990123192
0.0,-0.25,-182.87491033267705
0.0,-0.25,-147.18784537462093
0.0,-0.25,-190.7826421167067
0.0,-0.25,-170.65022064509006
0.0,-0.25,-152.26439373996598
0.0,-0.25,-169.30967653019366
0.0,-0.25,-135.1656851770553
0.0,-0.25,-152.69005766725968
0.0,-0.25,-143.5806091241445
0.0,-0.25,-152.28042800975288
0.0,-0.25,-161.72515405415004
0.0,-0.25,-183.95713625012314
0.0,-0.25,-178.61057417599312
0.0,-0.25,-182.3125878341854
0.0,-0.25,-162.71025200968074
0.0,-0.25,-177.50527399546783
0.0,-0.25,-156.59015627847577
0.0,-0.25,-154.27005142702802
0.0,-0.25,-151.4758520930866
0.0,-0.25,-155.04774535786217
0.0,-0.25,-156.54960599549239
0.0,-0.25,-156.68643560770533
0.0,-0.25,-145.53356848552977
0.0,-0.25,-158.70230429322672
0.0,-0.25,-157.5392865833127
0.0,-0.25,-182.6507727034042
0.0,-0.25,-165.20298033459213
0.0,-0.25,-184.88452729647665
0.0,-0.25,-180.4557963209328
0.0,-0.25,-164.09692941301267
0.0,-0.25,-178.15091235025125
0.0,-0.25,-170.37421223867193
0.0,-0.25,-160.43981110891943
0.0,-0.25,-168.3527832252314
0.0,-0.25,-195.8137827358543
0.0,-0.25,-159.75379359697703
0.0,-0.25,-173.85474999972587
0.0,-0.25,-160.70877317365336
0.0,-0.25,-146.95335689812478
0.0,-0.25,-174.9063430396513
0.0,-0.25,-192.12542517142916
0.0,-0.25,-165.71117801406604
0.0,-0.25,-151.24566376946677
0.0,-0.25,-142.06035418478544
0.0,-0.25,-150.55498008876452
0.0,-0.25,-191.91798739971796
0.0,-0.25,-166.59532413157118
0.0,-0.25,-178.74110032071616
0.0,-0.25,-192.9936323498035
0.0,-0.25,-162.27190820308192
0.0,-0.25,-156.8667360368096
0.0,-0.25,-137.3007326480555
0.0,-0.25,-172.08675245675585
0.0,-0.25,-141.45087645829634
0.0,-0.25,-170.43499706485804
0.0,-0.25,-187.4492348114021
0.0,-0.25,-147.52356007514865
0.0,-0.25,-137.7230194366375
0.0,-0.25,-170.1100570661537
0.0,-0.25,-182.2878704436732
0.0,-0.25,-160.00391141952656
0.0,-0.25,-146.4022714142184
0.0,-0.25,-165.08915499618408
0.0,-0.25,-140.3761674704814
0.0,-0.25,-171.92222687194354
0.0,-0.25,-176.88556121739907
0.0,-0.25,-172.221244056196
0.0,-0.25,-161.92440676247537
0.0,-0.25,-153.7231211430187
0.0,-0.25,-187.7031660130667
0.0,-0.25,-168.1157078156477
0.0,-0.25,-155.67357995255418
0.0,-0.25,-174.54821583522198
0.0,-0.25,-152.16273494214383
0.0,-0.25,-163.7604052683967
0.0,-0.25,-149.74060949847214
0.0,-0.25,-171.26859116975345
0.0,-0.25,-164.01473030016203
0.0,-0.25,-158.23655932597788
0.0,-0.25,-166.34871140816534
0.0,-0.25,-179.5808471106527
0.0,-0.25,-166.19129778262254
0.0,-0.25,-160.40777957362474
0.0,-0.25,-181.9015725676531
0.0,-0.25,-167.51998480922563
0.0,-0.25,-171.27447769913644
0.0,-0.25,-172.4847408439168
0.0,-0.25,-169.84243610871906
0.0,-0.25,-175.03795223986
0.0,-0.25,-172.67424553730552
0.0,-0.25,-166.3209491157827
0.0,-0.25,-192.86605716702508
0.0,-0.25,-161.36183393168625
0.0,-0.25,-153.15516102629533
0.0,-0.25,-135.0481179793276
0.0,-0.25,-156.1101472327421
0.0,-0.25,-162.46079958805592
0.0,-0.25,-143.05540666329873
0.0,-0.25,-189.0588341544028
0.0,-0.25,-177.0830115529073
0.0,-0.25,-165.4097397282757
0.0,-0.25,-133.3693789831894
0.0,-0.25,-162.7670214757669
0.0,-0.25,-138.87797656721682
0.0,-0.25,-158.11473312895237
0.0,-0.25,-157.24169373048895
0.0,-0.25,-139.08365196675712
0.0,-0.25,-176.4205426946998
0.0,-0.25,-167.30395755030753
0.0,-0.25,-165.16125285013462
0.0,-0.25,-157.6078245404288
0.0,-0.25,-176.47651962504875
0.0,-0.25,-153.37784207975682
0.0,-0.25,-165.35794214995488
0.0,-0.25,-158.82633157228722
0.0,-0.25,-130.3479320399495
0.0,-0.25,-156.78709297236944
0.0,-0.25,-145.16823388757297
0.0,-0.25,-182.554725112932
0.0,-0.25,-169.34988533305793
0.0,-0.25,-158.8420925013752
0.0,-0.25,-184.81551524075692
0.0,-0.25,-170.2444331546527
0.0,-0.25,-160.4350496986516
0.0,-0.25,-179.22943258617963
0.0,-0.25,-147.14344475143133
0.0,-0.25,-184.85728769360082
0.0,-0.25,-172.00060884314811
0.0,-0.25,-148.56588456249546
0.0,-0.25,-142.20244254844164
0.0,-0.25,-148.75090345827354
0.0,-0.25,-173.43718707552404
0.0,-0.25,-152.07197094576483
0.0,-0.25,-172.2719126854426
0.0,-0.25,-142.12181551377654
0.0,-0.25,-164.98017703519784
0.0,-0.25,-162.8470029751381
0.0,-0.25,-166.4620268612465
0.0,-0.25,-161.96500342354597
0.0,-0.25,-152.98774763420397
0.0,-0.25,-170.16031342709672
0.0,-0.25,-145.43577565717843
0.0,-0.25,-171.74827761275955
0.0,-0.25,-172.36615761173664
0.0,-0.25,-170.45667280175084
0.0,-0.25,-143.51339527793306
0.0,-0.25,-160.64794354639247
0.0,-0.25,-155.1903405089433
0.0,-0.25,-149.8693073667804
0.0,-0.25,-149.11878702918833
0.0,-0.25,-186.69129915646155
0.0,-0.25,-156.83023506836506
0.0,-0.25,-138.791978597888
0.0,-0.25,-190.62329596857867
0.0,-0.25,-157.30245100261402
0.0,-0.25,-178.01439513338548
0.0,-0.25,-140.04744667743782
0.0,-0.25,-155.23978937309747
0.0,-0.25,-161.72272313114823
0.0,-0.25,-177.06518233363713
0.0,-0.25,-169.44136846588742
0.0,-0.25,-137.2182441769278
0.0,-0.25,-168.46231235918148
0.0,-0.25,-148.7533674860796
0.0,-0.25,-189.25288513485222
0.0,-0.25,-190.25742862787342
0.0,-0.25,-148.90121602991243
0.0,-0.25,-160.5904867905372
0.0,-0.25,-175.90378772260084
0.0,-0.25,-173.2543770198915
0.0,-0.25,-171.52319420099212
0.0,-0.25,-168.20121081631683
0.0,-0.25,-166.77226290105958
0.0,-0.25,-170.91111641888256
0.0,-0.25,-172.5608726302962
0.0,-0.25,-189.15702597812447
0.0,-0.25,-140.2007383900726
0.0,-0.25,-162.32208571269175
0.0,-0.25,-198.16716966826658
0.0,-0.25,-166.768400720342
0.0,-0.25,-154.59504407481106
0.0,-0.25,-155.59031642425126
0.0,-0.25,-150.66454796184075
0.0,-0.25,-186.66491504324134
0.0,-0.25,-180.5990459430934
0.0,-0.25,-161.10047877759226
0.0,-0.25,-131.75905062167655
0.0,-0.25,-156.9278180657922
0.0,-0.25,-130.5724744589047
0.0,-0.25,-176.49564022717377
0.0,-0.25,-192.4895381393536
0.0,-0.25,-130.7964278857816
0.0,-0.25,-163.52323980942003
0.0,-0.25,-165.6495627302874
0.0,-0.25,-162.04201517680994
0.0,-0.25,-162.16229769879448
0.0,-0.25,-162.20748611768275
0.0,-0.25,-187.04378516464672
0.0,-0.25,-169.95330782341875
0.0,-0.25,-192.34554066046337
0.0,-0.25,-179.43273521156132
0.0,-0.25,-157.25669133406183
0.0,-0.25,-169.91880954594996
0.0,-0.25,-172.5262961818449
0.0,-0.25,-135.0075423457012
0.0,-0.25,-174.60544326117514
0.0,-0.25,-162.91165729247894
0.0,-0.25,-138.97228726674257
0.0,-0.25,-139.56077757445183
0.0,-0.25,-149.01068924385697
0.0,-0.25,-178.1939085693148
0.0,-0.25,-186.12342334477427
0.0,-0.25,-167.4836192184137
0.0,-0.25,-178.19618346999442
0.0,-0.25,-138.60366927711175
0.0,-0.25,-155.27522529052996
0.0,-0.25,-159.48612696990304
0.0,-0.25,-164.46582107008638
0.0,-0.25,-173.5252556882098
0.0,-0.25,-147.93529866635217
0.0,-0.25,-168.90549872530534
0.0,-0.25,-137.8313923520525
0.0,-0.25,-140.58313473610588
0.0,-0.25,-163.99857960379083
0.0,-0.25,-141.16011630159446
0.0,-0.25,-137.366155649008
0.0,-0.25,-172.68891512778123
0.0,-0.25,-182.6094792048359
0.0,-0.25,-164.81424624256917
0.0,-0.25,-157.1135957635572
0.0,-0.25,-165.41602785975093
0.0,-0.25,-171.11640112919542
0.0,-0.25,-154.46047948172372
0.0,-0.25,-164.53969230660044
0.0,-0.25,-154.87193875809012
0.0,-0.25,-145.74658166019051
0.0,-0.25,-187.9855475407952
0.0,-0.25,-143.14881478374423
0.0,-0.25,-176.94368290649746
0.0,-0.25,-153.93370317831128
0.0,-0.25,-131.05004796444055
0.0,-0.25,-150.28233698289984
0.0,-0.25,-161.23720516335592
0.0,-0.25,-137.1449279497511
0.0,-0.25,-133.60899341437485
0.0,-0.25,-164.1889958672231
0.0,-0.25,-129.0930978003769
0.0,-0.25,-159.43715226947953
0.0,-0.25,-161.50752612232162
0.0,-0.25,-166.42010300445017
0.0,-0.25,-180.9563311894809
0.0,-0.25,-177.56462755222861
0.0,-0.25,-185.52258449501247
