season,team,games,observed_games,out_designations,out_per_observed_game,musculoskeletal_out_per_game,out_excluding_noninjury_per_game,reserve_per_game,win_share,coverage,rank_out
2021,BAL,17,17,25.0,1.4705882352941178,1.4705882352941178,1.4705882352941178,18.941176470588236,0.47058823529411764,1.0,17.0
2021,BUF,17,17,11.0,0.6470588235294118,0.5882352941176471,0.6470588235294118,4.0,0.6470588235294118,1.0,30.0
2021,CAR,17,17,19.0,1.1176470588235294,0.8823529411764706,1.1176470588235294,11.588235294117647,0.29411764705882354,1.0,22.0
2021,CHI,17,17,32.0,1.8823529411764706,1.4705882352941178,1.7647058823529411,7.647058823529412,0.35294117647058826,1.0,12.0
2021,CIN,17,17,17.0,1.0,1.0,1.0,8.411764705882353,0.5882352941176471,1.0,25.0
2021,CLE,17,17,35.0,2.0588235294117645,1.5294117647058822,1.8823529411764706,11.705882352941176,0.47058823529411764,1.0,9.0
2021,DAL,17,17,17.0,1.0,0.8235294117647058,0.8235294117647058,15.411764705882353,0.7058823529411765,1.0,25.0
2021,DEN,17,17,14.0,0.8235294117647058,0.5294117647058824,0.8235294117647058,15.705882352941176,0.4117647058823529,1.0,29.0
2021,DET,17,17,29.0,1.7058823529411764,1.3529411764705883,1.588235294117647,15.470588235294118,0.20588235294117646,1.0,13.0
2021,GB,17,17,28.0,1.6470588235294117,1.4705882352941178,1.588235294117647,9.294117647058824,0.7647058823529411,1.0,15.0
2021,HOU,17,17,38.0,2.235294117647059,0.6470588235294118,1.0,9.705882352941176,0.23529411764705882,1.0,5.0
2021,IND,17,17,36.0,2.1176470588235294,1.7058823529411764,1.8235294117647058,11.294117647058824,0.5294117647058824,1.0,8.0
2021,JAX,17,17,16.0,0.9411764705882353,0.6470588235294118,0.7647058823529411,8.882352941176471,0.17647058823529413,1.0,28.0
2021,KC,17,17,21.0,1.2352941176470589,1.0588235294117647,1.1176470588235294,5.529411764705882,0.7058823529411765,1.0,20.0
2021,LA,17,17,6.0,0.35294117647058826,0.17647058823529413,0.29411764705882354,10.0,0.7058823529411765,1.0,32.0
2021,LAC,17,17,18.0,1.0588235294117647,0.7058823529411765,1.0588235294117647,6.0588235294117645,0.5294117647058824,1.0,23.0
2021,LV,17,17,29.0,1.7058823529411764,1.588235294117647,1.7058823529411764,10.823529411764707,0.5882352941176471,1.0,13.0
2021,MIA,17,17,10.0,0.5882352941176471,0.4117647058823529,0.5294117647058824,9.0,0.5294117647058824,1.0,31.0
2021,MIN,17,17,25.0,1.4705882352941178,1.3529411764705883,1.411764705882353,12.529411764705882,0.47058823529411764,1.0,17.0
2021,NE,17,17,18.0,1.0588235294117647,0.6470588235294118,1.0,14.882352941176471,0.5882352941176471,1.0,23.0
2021,NO,17,17,49.0,2.8823529411764706,2.7058823529411766,2.8823529411764706,13.352941176470589,0.5294117647058824,1.0,3.0
2021,NYG,17,17,51.0,3.0,2.9411764705882355,2.764705882352941,16.764705882352942,0.23529411764705882,1.0,2.0
2021,NYJ,17,17,23.0,1.3529411764705883,0.8235294117647058,1.2352941176470589,17.235294117647058,0.23529411764705882,1.0,19.0
